wavelength,flux
4510.245,72.1670
4511.282,76.5309
4512.322,74.3386
4513.360,73.3333
4514.398,72.5678
4515.439,72.1184
4516.479,72.4573
4517.520,71.4860
4518.559,72.0660
4519.601,70.6532
4520.641,73.3581
4521.681,71.9305
4522.724,69.1215
4523.764,72.5056
4524.807,71.1031
4525.848,67.7934
4526.892,70.7376
4527.933,71.4400
4528.975,74.1207
4530.019,71.2022
4531.061,70.2725
4532.106,73.2068
4533.149,69.3017
4534.194,72.4567
4535.237,72.3639
4536.280,68.7023
4537.327,72.0521
4538.370,74.2726
4539.417,69.3115
4540.461,75.8362
4541.508,70.4200
4542.553,68.8299
4543.598,67.6406
4544.646,69.7922
4545.691,71.5662
4546.739,70.9992
4547.785,71.8521
4548.834,72.0505
4549.880,73.1605
4550.927,67.6590
4551.977,71.6831
4553.024,65.0003
4554.074,68.7323
4555.122,70.1944
4556.172,68.1490
4557.220,67.6936
4558.269,66.1643
4559.319,68.7143
4560.368,69.2619
4561.420,66.0505
4562.469,66.6903
4563.521,69.0365
4564.571,67.5859
4565.621,66.7407
4566.674,69.0141
4567.725,68.4999
4568.778,67.0101
4569.829,67.3059
4570.883,65.7274
4571.934,65.5150
4572.989,66.5579
4574.041,63.8958
4575.093,66.5575
4576.148,70.3072
4577.201,68.7783
4578.256,66.2732
4579.309,64.4292
4580.365,63.4510
4581.419,65.2515
4582.473,65.8414
4583.530,63.9221
4584.584,65.4343
4585.641,64.5293
4586.696,62.8151
4587.754,62.4867
4588.809,62.9298
4589.865,61.9140
4590.923,63.4155
4591.979,61.5258
4593.039,63.3274
4594.095,63.7135
4595.154,62.4095
4596.211,65.2751
4597.269,65.1064
4598.329,65.4495
4599.387,64.5885
4600.447,60.9358
4601.506,64.2230
4602.567,64.2272
4603.625,66.6664
4604.685,64.1281
4605.747,62.1125
4606.806,62.9537
4607.869,64.0438
4608.929,61.2819
4609.991,64.2631
4611.052,64.6300
4612.113,62.3338
4613.176,65.5553
4614.237,65.5916
4615.301,64.7240
4616.363,64.3273
4617.428,65.2761
4618.490,62.1313
4619.552,63.9185
4620.618,63.2341
4621.681,63.0360
4622.747,63.2572
4623.810,61.5700
4624.876,64.3439
4625.940,63.0178
4627.004,61.3063
4628.071,61.5856
4629.136,63.4366
4630.203,66.0281
4631.269,65.2131
4632.336,62.0487
4633.402,62.5852
4634.468,62.0692
4635.537,64.3069
4636.603,59.9667
4637.672,62.0174
4638.739,60.6060
4639.809,60.3480
4640.876,61.9435
4641.944,60.7016
4643.014,58.0631
4644.083,63.2889
4645.153,62.9680
4646.222,60.6596
4647.293,62.7980
4648.362,60.5507
4649.432,59.4983
4650.504,63.9482
4651.574,60.2576
4652.646,63.5086
4653.717,63.9009
4654.790,63.6024
4655.861,64.4043
4656.935,63.7020
4658.006,62.9778
4659.077,63.9580
4660.152,62.8772
4661.224,62.2285
4662.298,63.8484
4663.371,64.5878
4664.446,62.9161
4665.520,61.0524
4666.593,62.4302
4667.669,64.9641
4668.743,63.6730
4669.819,63.1868
4670.894,67.1636
4671.971,62.5805
4673.045,62.9770
4674.121,63.5091
4675.198,64.9107
4676.274,65.5387
4677.352,62.2520
4678.428,66.8432
4679.507,66.0078
4680.583,63.5345
4681.660,64.5897
4682.740,64.3508
4683.817,64.0080
4684.897,62.3894
4685.975,61.2103
4687.056,63.0352
4688.134,62.7999
4689.212,61.2032
4690.293,61.9647
4691.373,61.2696
4692.455,62.1103
4693.534,68.1586
4694.616,61.0218
4695.696,64.2638
4696.776,61.6492
4697.859,60.0022
4698.940,63.1385
4700.024,60.7043
4701.105,60.3672
4702.189,61.6760
4703.271,61.3626
4704.353,63.8546
4705.438,62.3498
4706.520,60.2453
4707.605,62.9285
4708.688,61.0238
4709.774,63.6272
4710.858,62.8920
4711.941,61.5441
4713.028,60.9136
4714.112,62.8285
4715.199,59.0406
4716.284,64.4643
4717.372,62.7644
4718.457,63.0149
4719.542,62.6530
4720.631,60.8457
4721.717,58.5603
4722.806,58.4562
4723.892,59.5532
4724.981,60.1560
4726.068,60.5976
4727.155,58.8763
4728.246,57.8780
4729.333,59.3429
4730.424,59.6045
4731.512,63.2582
4732.603,61.5576
4733.692,63.0917
4734.781,62.4701
4735.873,63.2374
4736.962,59.8757
4738.055,62.6084
4739.145,61.7122
4740.237,58.4537
4741.328,56.7078
4742.421,58.4410
4743.512,59.7047
4744.604,58.7645
4745.697,59.6400
4746.789,62.4789
4747.884,60.2766
4748.976,58.3861
4750.071,59.8481
4751.164,56.3346
4752.257,57.7197
4753.353,58.3427
4754.446,58.1663
4755.542,58.3308
4756.637,59.0308
4757.733,60.4989
4758.828,58.8979
4759.923,57.5511
4761.021,58.7593
4762.116,55.2862
4763.214,61.5330
4764.310,57.1800
4765.408,59.5340
4766.504,57.5410
4767.601,55.4312
4768.700,60.0083
4769.797,59.5361
4770.897,58.2306
4771.995,60.2035
4773.095,58.0710
4774.193,57.5719
4775.292,60.2860
4776.393,59.6791
4777.492,59.8933
4778.593,60.4664
4779.692,60.4424
4780.795,59.7089
4781.895,62.4339
4782.995,60.8277
4784.098,58.7832
4785.198,59.5542
4786.302,60.3023
4787.403,59.6427
4788.507,60.5857
4789.608,57.3611
4790.710,58.9727
4791.815,60.0690
4792.917,59.1589
4794.022,58.8492
4795.125,58.9606
4796.231,57.3258
4797.334,56.4528
4798.438,58.8974
4799.544,57.0748
4800.649,58.1765
4801.756,57.2556
4802.860,54.6275
4803.968,52.4690
4805.073,57.1628
4806.178,56.2355
4807.287,59.7416
4808.393,57.1267
4809.501,57.4108
4810.608,60.2600
4811.717,56.6632
4812.824,56.9318
4813.931,57.1982
4815.042,55.3308
4816.149,56.8801
4817.260,57.3391
4818.368,55.4152
4819.479,55.3888
4820.588,56.7778
4821.697,56.1673
4822.809,55.8603
